java.lang.String	String	6
java.lang.String	lang.String	11
java.lang.String	java.lang.String	16
java.lang.invoke.MethodHandle	MethodHandle	12
java.lang.invoke.MethodHandle	invoke.MethodHandle	19
java.lang.invoke.MethodHandle	lang.invoke.MethodHandle	24
java.lang.invoke.MethodHandle	java.lang.invoke.MethodHandle	29
boolean	boolean	7
byte	byte	4
char	char	4
short	short	5
int	int	3
long	long	4
float	float	5
double	double	6
void	void	4
null_type	null_type	9
java.lang.Object	Object	6
java.lang.Object	lang.Object	11
java.lang.Object	java.lang.Object	16
java.lang.String[]	String[]	8
java.lang.String[]	lang.String[]	13
java.lang.String[]	java.lang.String[]	18
ArrayNullLoad	ArrayNullLoad	13
